index,month,day,TIME,TOTAL_FP_IDEX,clustering,score
1755,12,6,1,-0.4182606438718794,14,3.0
841,5,26,3,-0.417982408170229,14,3.0
503,3,26,1,-0.41796255584200664,14,3.0
623,4,16,5,-0.4177677767440076,14,3.0
459,3,19,1,-0.41754948202873904,14,3.0
1607,11,10,5,-0.417221159284485,14,3.0
1463,10,13,5,-0.41691399156168435,14,3.0
1617,11,13,3,-0.4169043925135466,14,3.0
485,3,23,1,-0.41657158687103274,14,3.0
488,3,23,4,-0.4162786007335397,14,3.0
489,3,23,5,-0.41601990487192186,14,3.0
559,4,4,5,-0.41585698606442645,14,3.0
487,3,23,3,-0.4156765857534413,14,3.0
1645,11,18,3,-0.4156731611448788,14,3.0
775,5,14,1,-0.4153932459258262,14,3.0
808,5,19,0,-0.4149137407691473,14,3.0
532,3,30,5,-0.41471012936837437,14,3.0
486,3,23,2,-0.4146190500549417,14,3.0
445,3,16,4,-0.41441067520958996,14,3.0
1269,9,2,2,-0.4143645642931333,14,3.0
478,3,22,6,-0.4141680948790378,14,3.0
274,2,21,3,-0.4140950379462487,14,3.0
1116,7,26,3,-0.41359075358571534,14,3.0
1143,8,3,5,-0.41356729882927057,14,3.0
549,4,3,1,-0.4132639568271285,14,3.0
1422,10,2,6,-0.4130823633029615,14,3.0
17,1,4,3,-0.413064376828273,14,3.0
645,4,20,0,-0.41285468147882554,14,3.0
1300,9,9,4,-0.4127461891528723,14,3.0
570,4,6,3,-0.4123445446995665,14,3.0
1558,11,3,4,-0.41216409543759286,14,3.0
242,2,14,3,-0.4120359296798067,14,3.0
1514,10,25,3,-0.4120351684381229,14,3.0
1170,8,10,3,-0.4117596114630484,14,3.0
1843,12,19,4,-0.41148087446619747,14,3.0
613,4,15,0,-0.4113783630620666,14,3.0
1268,9,2,1,-0.4109562508815827,14,3.0
653,4,21,5,-0.4106850015878013,14,3.0
131,1,25,5,-0.41038304551291077,14,3.0
1451,10,10,2,-0.41031960409806667,14,3.0
860,5,30,3,-0.41020275502637554,14,3.0
592,4,10,1,-0.4101678376821525,14,3.0
