month,day,TIME,TOTAL_FP_IDEX,DSP_CNT_IDEX,clustering,score
5,2,4,-0.49476911982715427,0.14925373134328357,16,1
10,11,5,-0.4937590754352065,0.13513513513513514,16,1
10,1,1,-0.4930777429361089,0.16304347826086957,13,3
3,1,3,-0.4928750879316632,0.09615384615384616,16,1
4,3,3,-0.49260046866268276,0.11111111111111112,16,1
1,4,4,-0.4924374419820736,0.09433962264150943,16,1
4,11,3,-0.4913747875860489,0.09433962264150943,16,1
1,5,0,-0.4908748430881287,0.3333333333333333,7,7
3,1,5,-0.48931231460380864,0.19230769230769232,13,3
8,3,0,-0.4876713199884246,0.2803738317757009,7,7
4,16,1,-0.48702980735851037,0.09900990099009901,16,1
1,1,5,-0.48683341868533925,0.0819672131147541,16,1
4,1,3,-0.4860384068315472,0.10416666666666666,16,1
10,11,3,-0.4859403628452588,0.13605442176870747,16,1
1,4,5,-0.48587364966371444,0.09009009009009009,16,1
10,1,2,-0.4848990961583442,0.11695906432748537,16,1
8,4,5,-0.48476262271834,0.17094017094017094,13,3
12,3,0,-0.48467503304217374,0.09803921568627451,16,1
1,6,0,-0.48395880318704454,0.20833333333333331,13,3
4,7,3,-0.483339683669433,0.11363636363636365,16,1
10,10,3,-0.48310123234237,0.14388489208633093,16,1
3,21,0,-0.4829448058835836,0.18018018018018017,13,3
8,29,0,-0.48123013049928903,0.08771929824561403,16,1
9,6,4,-0.4812269459812943,0.07936507936507936,16,1
5,17,0,-0.4811596910300412,0.3076923076923077,7,7
11,5,4,-0.48084002272424453,0.20618556701030927,13,3
3,12,4,-0.48059848690990914,0.10416666666666666,16,1
3,7,0,-0.4804048586166967,0.2857142857142857,7,7
1,6,3,-0.47996765256132906,0.10101010101010102,16,1
3,9,5,-0.47992968294364446,0.11235955056179775,16,1
1,2,1,-0.47981635845538534,0.11111111111111112,16,1
10,3,0,-0.4790131976948099,0.19736842105263158,13,3
11,15,4,-0.4788172357044917,0.13605442176870747,16,1
10,18,2,-0.47872914938973554,0.06993006993006994,16,1
8,1,4,-0.4786538805012494,0.07936507936507936,16,1
4,8,5,-0.4783185854695326,0.09708737864077668,16,1
11,10,0,-0.47816252294816,0.18018018018018017,13,3
9,1,3,-0.477810636713737,0.3,7,7
1,2,5,-0.47743530099473597,0.2912621359223301,7,7
5,18,1,-0.4769024855183468,0.18518518518518517,13,3
1,5,5,-0.47681134862138336,0.08264462809917356,16,1
12,9,0,-0.4767406732196478,0.09900990099009901,16,1
9,5,4,-0.4766140544938077,0.08620689655172414,16,1
5,24,2,-0.47621389417005155,0.145985401459854,16,1
4,1,0,-0.47618486981432095,0.11627906976744186,16,1
10,10,0,-0.4753964693328173,0.06993006993006994,16,1
1,2,4,-0.4751716386297468,0.3125,7,7
6,13,2,-0.4743307096889741,0.31746031746031744,7,7
4,6,1,-0.4741041335249421,0.10638297872340426,16,1
5,8,3,-0.47380736331891565,0.32608695652173914,7,7
6,2,0,-0.4737301740049532,0.18691588785046728,13,3
11,16,0,-0.47222947814698263,0.18518518518518517,13,3
10,11,1,-0.47219192776834873,0.19480519480519481,13,3
11,19,0,-0.47136739676180783,0.08928571428571427,16,1
3,1,4,-0.47047561671743976,0.37037037037037035,7,7
3,29,5,-0.4701423233319548,0.07936507936507936,16,1
4,9,0,-0.46957488741203063,0.11627906976744186,16,1
5,16,0,-0.46892254499566344,0.08849557522123894,16,1
9,8,0,-0.46874627897843063,0.20618556701030927,13,3
10,25,5,-0.46863252644092196,0.06711409395973154,16,1
3,7,3,-0.46773095512902296,0.18691588785046728,13,3
5,14,0,-0.4672426760010585,0.09900990099009901,16,1
11,15,3,-0.4670324999153202,0.0641025641025641,16,1
4,8,0,-0.4667954505622784,0.10309278350515463,16,1
4,18,3,-0.4667714553896718,0.09523809523809525,16,1
10,1,3,-0.4665291784478619,0.05714285714285714,16,1
3,11,1,-0.4662535530076946,0.20202020202020204,13,3
4,2,3,-0.4661948869040754,0.2247191011235955,13,3
